Source,SourcePath,SourcePort,SourcePortKind,SourcePortIndex,Destination,DestinationPath,DestinationPort,DestinationPortKind,DestinationPortIndex,Origin
NOT1,untitled/NOT1,1,outport,1,Goto,untitled/Goto,1,inport,1,line
GreaterThan1,untitled/GreaterThan1,1,outport,1,Goto2,untitled/Goto2,1,inport,1,line
GreaterThan1,untitled/GreaterThan1,1,outport,1,NOT1,untitled/NOT1,1,inport,1,line
Product,untitled/Product,1,outport,1,GreaterThan1,untitled/GreaterThan1,2,inport,2,line
Sine Wave1,untitled/Sine Wave1,1,outport,1,GreaterThan1,untitled/GreaterThan1,1,inport,1,line
Square Wave
Generator,untitled/Square Wave
Generator,1,outport,1,Product,untitled/Product,1,inport,1,line
Square Wave
Generator,untitled/Square Wave
Generator,1,outport,1,Scope1,untitled/Scope1,1,inport,1,line
Repeating
Sequence,untitled/Repeating
Sequence,1,outport,1,Product,untitled/Product,2,inport,2,line
Voltage Measurement,untitled/Voltage Measurement,1,outport,1,Scope,untitled/Scope,1,inport,1,line
NOT,untitled/NOT,1,outport,1,Goto3,untitled/Goto3,1,inport,1,line
GreaterThan,untitled/GreaterThan,1,outport,1,Goto1,untitled/Goto1,1,inport,1,line
GreaterThan,untitled/GreaterThan,1,outport,1,NOT,untitled/NOT,1,inport,1,line
Constant,untitled/Constant,1,outport,1,GreaterThan,untitled/GreaterThan,2,inport,2,line
Sine Wave,untitled/Sine Wave,1,outport,1,GreaterThan,untitled/GreaterThan,1,inport,1,line
From3,untitled/From3,1,outport,1,IGBT/Diode3,untitled/IGBT//Diode3,1,inport,1,line
From1,untitled/From1,1,outport,1,IGBT/Diode,untitled/IGBT//Diode,1,inport,1,line
From2,untitled/From2,1,outport,1,IGBT/Diode1,untitled/IGBT//Diode1,1,inport,1,line
From,untitled/From,1,outport,1,IGBT/Diode2,untitled/IGBT//Diode2,1,inport,1,line
Constant,untitled/Constant,-1,outport,1,GreaterThan,untitled/GreaterThan,-1,inport,2,pc
DC Voltage Source,untitled/DC Voltage Source,-1,lconn,1,IGBT/Diode1,untitled/IGBT//Diode1,-1,,-1,pc
DC Voltage Source,untitled/DC Voltage Source,-1,lconn,1,IGBT/Diode3,untitled/IGBT//Diode3,-1,,-1,pc
DC Voltage Source,untitled/DC Voltage Source,-1,rconn,1,IGBT/Diode2,untitled/IGBT//Diode2,-1,,-1,pc
DC Voltage Source,untitled/DC Voltage Source,-1,rconn,1,IGBT/Diode,untitled/IGBT//Diode,-1,,-1,pc
DCVoltageSource,untitled/DC Voltage Source/DCVoltageSource,-1,lconn,1,-,untitled/DC Voltage Source/-,-1,,-1,pc
DCVoltageSource,untitled/DC Voltage Source/DCVoltageSource,-1,rconn,1,+,untitled/DC Voltage Source/+,-1,,-1,pc
