Source,SourcePath,SourcePort,SourcePortKind,SourcePortIndex,Destination,DestinationPath,DestinationPort,DestinationPortKind,DestinationPortIndex,Origin
"Three-Phase
V-I Measurement1","untitled1/Three-Phase
V-I Measurement1",2,"outport",2,"Goto9","untitled1/Goto9",1,"inport",1,"line"
"Three-Phase
V-I Measurement1","untitled1/Three-Phase
V-I Measurement1",1,"outport",1,"Goto11","untitled1/Goto11",1,"inport",1,"line"
"Three-Phase Transformer
Inductance Matrix Type
(Two Windings)","untitled1/Three-Phase Transformer
Inductance Matrix Type
(Two Windings)",3,"",-1,"Three-Phase
V-I Measurement1","untitled1/Three-Phase
V-I Measurement1",3,"",-1,"line"
"Three-Phase Transformer
Inductance Matrix Type
(Two Windings)","untitled1/Three-Phase Transformer
Inductance Matrix Type
(Two Windings)",2,"",-1,"Three-Phase
V-I Measurement1","untitled1/Three-Phase
V-I Measurement1",2,"",-1,"line"
"Three-Phase Transformer
Inductance Matrix Type
(Two Windings)","untitled1/Three-Phase Transformer
Inductance Matrix Type
(Two Windings)",1,"",-1,"Three-Phase
V-I Measurement1","untitled1/Three-Phase
V-I Measurement1",1,"",-1,"line"
"Universal Bridge5","untitled1/Universal Bridge5",1,"",-1,"Three-Phase Transformer
Inductance Matrix Type
(Two Windings)","untitled1/Three-Phase Transformer
Inductance Matrix Type
(Two Windings)",3,"lconn",3,"line"
"Universal Bridge5","untitled1/Universal Bridge5",2,"",-1,"Three-Phase Transformer
Inductance Matrix Type
(Two Windings)","untitled1/Three-Phase Transformer
Inductance Matrix Type
(Two Windings)",2,"lconn",2,"line"
"Universal Bridge5","untitled1/Universal Bridge5",3,"",-1,"Three-Phase Transformer
Inductance Matrix Type
(Two Windings)","untitled1/Three-Phase Transformer
Inductance Matrix Type
(Two Windings)",1,"lconn",1,"line"
"From2","untitled1/From2",1,"outport",1,"Universal Bridge5","untitled1/Universal Bridge5",1,"inport",1,"line"
"Sine Wave","untitled1/Sine Wave",1,"outport",1,"Controlled Voltage Source","untitled1/Controlled Voltage Source",1,"inport",1,"line"
"Controlled Voltage Source","untitled1/Controlled Voltage Source",1,"",-1,"Multi-Winding
Transformer","untitled1/Multi-Winding
Transformer",2,"lconn",2,"line"
"Controlled Voltage Source","untitled1/Controlled Voltage Source",1,"",-1,"Current Measurement3","untitled1/Current Measurement3",1,"",-1,"line"
"Current Measurement3","untitled1/Current Measurement3",1,"",-1,"Multi-Winding
Transformer","untitled1/Multi-Winding
Transformer",1,"lconn",1,"line"
"Universal Bridge4","untitled1/Universal Bridge4",2,"",-1,"Multi-Winding
Transformer","untitled1/Multi-Winding
Transformer",4,"",-1,"line"
"Universal Bridge3","untitled1/Universal Bridge3",2,"",-1,"Multi-Winding
Transformer","untitled1/Multi-Winding
Transformer",2,"",-1,"line"
"Series RLC Load12","untitled1/Series RLC Load12",1,"",-1,"Ideal Switch3","untitled1/Ideal Switch3",1,"",-1,"line"
"Series RLC Load11","untitled1/Series RLC Load11",1,"",-1,"Ideal Switch2","untitled1/Ideal Switch2",1,"",-1,"line"
"Current Measurement2","untitled1/Current Measurement2",1,"outport",1,"Goto8","untitled1/Goto8",1,"inport",1,"line"
"Current Measurement1","untitled1/Current Measurement1",1,"outport",1,"Goto7","untitled1/Goto7",1,"inport",1,"line"
"Series RLC Load7","untitled1/Series RLC Load7",1,"",-1,"Current Measurement1","untitled1/Current Measurement1",1,"",-1,"line"
"Current Measurement2","untitled1/Current Measurement2",1,"",-1,"Series RLC Load8","untitled1/Series RLC Load8",1,"",-1,"line"
"Universal Bridge4","untitled1/Universal Bridge4",1,"",-1,"Series RLC Load8","untitled1/Series RLC Load8",1,"lconn",1,"line"
"From1","untitled1/From1",1,"outport",1,"Universal Bridge4","untitled1/Universal Bridge4",1,"inport",1,"line"
